,,,,Distribution,,,Valuation ,,,Dates,,,,Time,,,Market Capitalization (Coinmarketcap.com),,,,,Token Returns,,,Ether Returns,,,Bitcoin Returns,,,Excess Returns (Arithmetic Avg),,Monthly CAGR,,
Name,status,Type,Raise,Total Amount of tokens,Amount sold in ICO,% Ownership,Project Valuation,Implied Token Price,Implied Token Price Check,Start Date,ICO End Date,Today,Month,Days,Months,Years,Ticker,available_supply,total_supply,Market Cap,Implied Project Valuation,Token Raise,Token Now,Total Return,ETH Raise,ETH Now,ETH Return,BTC Raise,BTC Now,Bitcoin Return,Excess Return ETH,Excess Return BTC,Token,ETH,BTC
Embermine,Planned,Media,,,,,,,,4/13/2017,2017-04-13,2017-05-18,Apr17,35,1.166666667,0.09589041096,,,,,,,,,,,,,,,,,,,
EncryptoTel,Active,Communication,,,,,,,,4/24/2017,2017-05-31,2017-05-18,May17,-13,-0.4333333333,-0.03561643836,,,,,,,,,,,,,,,,,,,
Ethbits,Planned,Exchange,,,,,,,,4/15/2017,2017-05-15,2017-05-18,May17,3,0.1,0.008219178082,,,,,,,,,,,,,,,,,,,
Etherex,Failed,Exchange,,,,,,,,,,2017-05-18,Dec99,42873,1429.1,117.460274,,,,,,,,,,,,,,,,,,,
Etherisc,Planned,Insurance,,,,,,,,TBD,TBD,2017-05-18,TBD,#VALUE!,#VALUE!,#VALUE!,,,,,,,,,,,,,,,,,,,
Exscudo,Active,Banking,,,,,,,,4/25/2017,2017-05-31,2017-05-18,May17,-13,-0.4333333333,-0.03561643836,,,,,,,,,,,,,,,,,,,
FundRequest,Planned,Crowdfunding,,,,,,,,7/1/2017,2017-08-11,2017-05-18,Aug17,-85,-2.833333333,-0.2328767123,,,,,,,,,,,,,,,,,,,
IcoBid,Completed,Service,"$1,500",,,,,,,12/11/2016,2017-01-11,2017-05-18,Jan17,127,4.233333333,0.3479452055,icobid,"103,633,691.00","103,633,691.00","$39,588","$39,588",,,,,,,,,,,,,,
Intellisys,Failed,Investing,,,,,,,,2/27/2017,2017-03-02,2017-05-18,Mar17,77,2.566666667,0.2109589041,,,,,,,,,,,,,,,,,,,
Internet of Coins,Active,Blockchain-infrastructure,,,,,,,,3/21/2017,2017-06-21,2017-05-18,Jun17,-34,-1.133333333,-0.09315068493,,,,,,,,,,,,,,,,,,,
Iota,Failed,IoT,,,,,,,,,,2017-05-18,,42873,1429.1,117.460274,,,,,,,,,,,,,,,,,,,
iSunMediaCoin,Failed,Media,,,,,,,,6/27/2016,2016-12-27,2017-05-18,Dec16,142,4.733333333,0.3890410959,,,,,,,,,,,,,,,,,,,
LeviarCoin,Active,Media,,,,,,,,4/7/2017,2017-07-09,2017-05-18,Jul17,-52,-1.733333333,-0.1424657534,,,,,,,,,,,,,,,,,,,
LeviarCoin,Active,Gaming,,,,,,,,7Apr17,2017-07-09,2017-05-18,Jul17,-52,-1.733333333,-0.1424657534,,,,,,,,,,,,,,,,,,,
Mainstreet Investment,Failed,Investment,,,,,,,,,,2017-05-18,Dec99,42873,1429.1,117.460274,,,,,,,,,,,,,,,,,,,
Mercatox,Failed,Exchange,,,,,,,,11/20/2016,2016-12-20,2017-05-18,Dec16,149,4.966666667,0.4082191781,,,,,,,,,,,,,,,,,,,
Metal,Planned,Loyalty Program,,,,,,,,TBD,TBD,2017-05-18,TBD,#VALUE!,#VALUE!,#VALUE!,,,,,,,,,,,,,,,,,,,
MobileGo,Active,Gaming,,,,,,,,4/25/2017,2017-05-25,2017-05-18,May17,-7,-0.2333333333,-0.01917808219,,,,,,,,,,,,,,,,,,,
MyBit,Failed,Investing,,,,,,,,4/27/2017,2017-05-27,2017-05-18,May17,-9,-0.3,-0.02465753425,,,,,,,,,,,,,,,,,,,
Mysterium Network,Planned,Computing,,,,,,,,TBD,TBD,2017-05-18,TBD,#VALUE!,#VALUE!,#VALUE!,,,,,,,,,,,,,,,,,,,
Nexxus,Planned,Services,,,,,,,,8May17,2017-06-06,2017-05-18,Jun17,-19,-0.6333333333,-0.05205479452,,,,,,,,,,,,,,,,,,,
Omise GO,Planned,Banking,,,,,,,,TBD,TBD,2017-05-18,TBD,#VALUE!,#VALUE!,#VALUE!,,,,,,,,,,,,,,,,,,,
OneGram,Planned,Commodity-Backed Cryptocurrency,,,,,,,,5/1/2017,2017-05-31,2017-05-18,May17,-13,-0.4333333333,-0.03561643836,,,,,,,,,,,,,,,,,,,
Peerplays,Active,Gambling,,,,,,,,2/26/2017,2017-05-14,2017-05-18,May17,4,0.1333333333,0.01095890411,,,,,,,,,,,,,,,,,,,
Polybius,Planned,Banking,,,,,,,,TBD,TBD,2017-05-18,TBD,#VALUE!,#VALUE!,#VALUE!,,,,,,,,,,,,,,,,,,,
Populous,Planned,Invoicing,,,,,,,,7/16/2017,2017-08-15,2017-05-18,Aug17,-89,-2.966666667,-0.2438356164,,,,,,,,,,,,,,,,,,,
Respectonomy,Failed,Media,,,,,,,,2/6/2017,2017-03-04,2017-05-18,Mar17,75,2.5,0.2054794521,,,,,,,,,,,,,,,,,,,
Sikoba,Active,Banking,,,,,,,,4/24/2017,2017-05-24,2017-05-18,May17,-6,-0.2,-0.01643835616,,,,,,,,,,,,,,,,,,,
SONM,Planned,Computing,,,,,,,,5/25/2017,2017-06-25,2017-05-18,Jun17,-38,-1.266666667,-0.104109589,,,,,,,,,,,,,,,,,,,
Starbase,Failed,Decentralized Applications Platform,,,,,,,,7/1/2017,2017-08-15,2017-05-18,Aug17,-89,-2.966666667,-0.2438356164,,,,,,,,,,,,,,,,,,,
Storj (Ethereum),Planned,Computing,,,,,,,,19May17,2017-06-19,2017-05-18,Jun17,-32,-1.066666667,-0.08767123288,,,,,,,,,,,,,,,,,,,
SuperDAO, Planned ,Investing,,,,,,,,7/12/2017,2017-08-12,2017-05-18,Aug17,-86,-2.866666667,-0.2356164384,,,,,,,,,,,,,,,,,,,
SwishCoin,Failed,Payments,,,,,,,,12/15/2016,2017-01-15,2017-05-18,Jan17,123,4.1,0.3369863014,,,,,,,,,,,,,,,,,,,
Tezos,Planned,Cryptocurrency,,,,,,,,TBD,TBD,2017-05-18,TBD,#VALUE!,#VALUE!,#VALUE!,,,,,,,,,,,,,,,,,,,
The Bancor Protocol,Planned,Exchange,,,,,,,,TBD,TBD,2017-05-18,TBD,#VALUE!,#VALUE!,#VALUE!,,,,,,,,,,,,,,,,,,,
The Legends Room,Active,Adult Entertainment,,,,,,,,4/18/2017,2017-05-20,2017-05-18,May17,-2,-0.06666666667,-0.005479452055,,,,,,,,,,,,,,,,,,,
Vega,Failed,Investing,,,,,,,,,,2017-05-18,Dec99,42873,1429.1,117.460274,,,,,,,,,,,,,,,,,,,
Veritaseum,Active,Banking,,,,,,,,25Apr17,2017-05-26,2017-05-18,May17,-8,-0.2666666667,-0.02191780822,,,,,,,,,,,,,,,,,,,
Viva Coin,Active,Banking,,,,,,,,1May17,2017-05-21,2017-05-18,May17,-3,-0.1,-0.008219178082,,,,,,,,,,,,,,,,,,,
Voise,Planned,Media,,,,,,,,5May17,2017-06-06,2017-05-18,Jun17,-19,-0.6333333333,-0.05205479452,,,,,,,,,,,,,,,,,,,
X Pool,Failed,Blockchain-infrastructure,,,,,,,,2/7/2017,2017-04-08,2017-05-18,Apr17,40,1.333333333,0.1095890411,,,,,,,,,,,,,,,,,,,
ZrCoin,Planned,Commodity-Backed Cryptocurrency,,,,,,,,4/25/2017,2017-05-24,2017-05-18,May17,-6,-0.2,-0.01643835616,,,,,,,,,,,,,,,,,,,
